State,Population
Alabama,"51,08,468"
Alaska,"7,33,406"
Arizona,"74,31,344"
Arkansas,"30,67,732"
California,"3,89,65,193"
Colorado,"58,77,610"
Connecticut,"36,17,176"
Delaware,"10,31,890"
District of Columbia,"6,78,972"
Florida,"2,26,10,726"
Georgia,"1,10,29,227"
Hawaii,"14,35,138"
Idaho,"19,64,726"
Illinois,"1,25,49,689"
Indiana,"68,62,199"
Iowa,"32,07,004"
Kansas,"29,40,546"
Kentucky,"45,26,154"
Louisiana,"45,73,749"
Maine,"13,95,722"
Maryland,"61,80,253"
Massachusetts,"70,01,399"
Michigan,"1,00,37,261"
Minnesota,"57,37,915"
Mississippi,"29,39,690"
Missouri,"61,96,156"
Montana,"11,32,812"
Nebraska,"19,78,379"
Nevada,"31,94,176"
New Hampshire,"14,02,054"
New Jersey,"92,90,841"
New Mexico,"21,14,371"
New York,"1,95,71,216"
North Carolina,"1,08,35,491"
North Dakota,"7,83,926"
Ohio,"1,17,85,935"
Oklahoma,"40,53,824"
Oregon,"42,33,358"
Pennsylvania,"1,29,61,683"
Rhode Island,"10,95,962"
South Carolina,"53,73,555"
South Dakota,"9,19,318"
Tennessee,"71,26,489"
Texas,"3,05,03,301"
Utah,"34,17,734"
Vermont,"6,47,464"
Virginia,"87,15,698"
Washington,"78,12,880"
West Virginia,"17,70,071"
Wisconsin,"59,10,955"
Wyoming,"5,84,057"
